Epoca,Treinamento 1 EQM,Treinamento 2 EQM,Treinamento 3 EQM,Treinamento 4 EQM,Treinamento 5 EQM
40,0.0018713038673349267,0.0018927853530189404,0.001928309078073367,0.0024634517192659087,0.0019951450635787796
41,0.0017947888747275348,0.00181185213124601,0.0018485367252918084,0.0023565555464454078,0.0019095053588366934
42,0.0017226900271218207,0.001735711817585414,0.0017733030269316296,0.0022549233427110755,0.0018288400914407185
43,0.0016548258459545728,0.0016641718293537338,0.0017024328342627824,0.002158416107587203,0.0017529419143417241
44,0.0015910155522581805,0.0015970381652002912,0.00163574972877415,0.0020668873198371883,0.0016816043280686935
45,0.001531079798886314,0.001534116553962901,0.0015730769820222477,0.0019801841743703184,0.0016146225661022853
46,0.0014748413399461471,0.0014752135072823745,0.0015142384399798887,0.001898148776429338,0.0015517943977081943
47,0.0014221256357803496,0.0014201372731690643,0.0014590593294889346,0.0018206192839014803,0.0014929208471616178
48,0.0013727613929912063,0.0013686986896321348,0.0014073669858263068,0.0017474309902096796,0.001437806829723834
49,0.0013265810400000134,0.0013207119391497116,0.0013589915016263693,0.0016784173418107943,0.0013862617059437305
50,0.001283421139489406,0.0012759952061743485,0.0013137662984660276,0.0016134108858258346,0.0013380997568615354
51,0.0012431227397887673,0.0012343712410403111,0.001271528623315278,0.0015522441447313215,0.0012931405835009473
52,0.0012055316678412343,0.0011956678345788935,0.0012321199727924545,0.0014947504163336602,0.0012512094346645805
53,0.001170498766843623,0.0011597182084717524,0.0011953864487500166,0.0014407644984174351,0.0012121374675128998
54,0.001137880081989231,0.0011263613268992032,0.0011611790491648606,0.0013901233384966414,0.0011757619457262664
55,0.0011075369979786764,0.0010954421353911543,0.0011293538986294658,0.0013426666100013296,0.0011419263802410497
56,0.0010793363321080752,0.0010668117329849973,0.0010997724229501408,0.0012982372170016218,0.0011104806176319409
57,0.0010531503868083311,0.0010403274838582427,0.001072301472469965,0.0012566817302098088,0.0010812808812001168
58,0.001028856965505959,0.0010158530745555843,0.0010468133987596472,0.001217850757515344,0.0010541897697372092
59,0.0010063393556152646,0.0009932585227896828,0.0010231860892731754,0.0011815992527049407,0.0010290762187824883
60,0.0009854862823646105,0.000972420143580862,0.0010013029644580724,0.0011477867663098951,0.0010058154289889038
61,0.0009661918370148,0.0009532204782298007,0.00098105294165467,0.001116277642715698,0.0009842887659745933
62,0.0009483553828542053,0.0009355481913038226,0.0009623303699246265,0.0010869411677754829,0.0009643836357707151
63,0.0009318814421606439,0.0009192979404749496,0.0009450349397259804,0.0010596516712000753,0.0009459933396931874
64,0.0009166795671106808,0.0009043702236871944,0.000929071571108222,0.0010342885879638726,0.0009290169121728529
65,0.0009026641973990803,0.0008906712077618024,0.000914350283843737,0.0010107364828781226,0.0009133589447825234
66,0.0008897545071091687,0.0008781125421795981,0.0009007860526476348,0.0009888850423508597,0.0008989293994052988
67,0.0008778742431530392,0.0008666111614160788,0.000888298650371929,0.0009686290371851245,0.000885643413201369
68,0.0008669515573824915,0.0008560890788523788,0.0008768124817963604,0.0009498682600721342,0.0008734210977530752
69,0.0008569188342595986,0.0008464731749476178,0.0008662564103809746,0.0009325074412213848,0.0008621873345033595
